name,ingredients_json,mood_labels,tags,category,instructions,glass,garnish,prep_time,difficulty,image_url,date
252,"[{""name"":""151 proof rum"",""measure"":""1/2 shot Bacardi""},{""name"":""Wild Turkey"",""measure"":""1/2 shot""}]","energy_bold_spirit_forward,occ_party_high_energy","style_shot,strength_strong,flavor_intense",cat_shot_shooter,"Pour 1/2 shot of 151 proof rum and 1/2 shot of Wild Turkey into a shot glass, then shoot.",glass_shot,none,1 minute,Easy,https://drive.google.com/file/d/1GCxngtSrvbUvsQcwb_OFsm4tR_4TLdCn/view?usp=drivesdk,2025-09-22
747,"[{""name"":""Kahlua"",""measure"":""1/3 part""},{""name"":""Baileys irish cream"",""measure"":""1/3 part""},{""name"":""Frangelico"",""measure"":""1/3 part""}]","energy_indulgent,intent_dessert","style_shot,flavor_coffee,diet_dairy,texture_creamy",cat_shot_shooter,"Pour equal parts Kahlua, Baileys, and Frangelico into a shot glass and serve.",glass_shot,none,1 minute,Easy,https://drive.google.com/file/d/1NSXhe5PcjYu6bX8GtDo4uOL6wVnYw_j7/view?usp=drivesdk,2025-09-22
110 in the shade,"[{""name"":""Lager"",""measure"":""16 oz""},{""name"":""Tequila"",""measure"":""1.5 oz""}]","energy_light_refreshing,time_aperitif","style_new_era,flavor_fruity,strength_moderate,serve_long,setting_beach",cat_beer_cocktail,"Pour 1.5 oz of tequila into a beer glass, then fill with 16 oz of lager.",glass_beer_generic,none,2 minutes,Easy,https://drive.google.com/file/d/1meIOQgGSsCAZFwMec3u241rhmrU_GzMg/view?usp=drivesdk,2025-09-22
151 Florida Bushwacker,"[{""name"":""Malibu rum"",""measure"":""1/2 oz""},{""name"":""Light rum"",""measure"":""1/2 oz""},{""name"":""151 proof rum"",""measure"":""1/2 oz Bacardi""},{""name"":""Dark Creme de Cacao"",""measure"":""1 oz""},{""name"":""Cointreau"",""measure"":""1 oz""},{""name"":""Milk"",""measure"":""3 oz""},{""name"":""Coconut liqueur"",""measure"":""1 oz""},{""name"":""Vanilla ice-cream"",""measure"":""1 cup""}]","energy_indulgent,occ_party_high_energy","style_tiki,flavor_sweet,texture_creamy,strength_strong,serve_frozen,season_summer",cat_frozen_blended,"Blend 1/2 oz Malibu rum, 1/2 oz light rum, 1/2 oz 151 proof rum, 1 oz dark crème de cacao, 1 oz Cointreau, 3 oz milk, 1 oz coconut liqueur, and 1 cup vanilla ice cream until smooth. Pour into a beer mug.",glass_beer_generic,none,6 minutes,Medium,https://drive.google.com/file/d/1-ShAp3Zob6H2sPGaMtqrhpDYiN8UWfAT/view?usp=drivesdk,2025-09-22
155 Belmont,"[{""name"":""Dark rum"",""measure"":""1 shot""},{""name"":""Light rum"",""measure"":""2 shots""},{""name"":""Vodka"",""measure"":""1 shot""},{""name"":""Orange juice"",""measure"":""1 shot""}]","energy_bold_spirit_forward,occ_party_high_energy","style_tiki,flavor_fruity,strength_strong,serve_on_rocks",cat_tiki_tropical,"Blend 1 shot of dark rum, 2 shots of light rum, 1 shot of vodka, and 1 shot of orange juice with ice, then pour into a white wine glass.",glass_wine_white,none,6 minutes,Medium,https://drive.google.com/file/d/1Tgykcedq2tJ_cxG8vSJPnT-bs8lB1Jyr/view?usp=drivesdk,2025-09-22
1800 Coco Piñarita,"[{""name"":""1800 Coconut Tequila"",""measure"":""""},{""name"":""Ice"",""measure"":""""},{""name"":""Dole Pineapple Juice"",""measure"":""""},{""name"":""Tres Agaves Organic Margarita Mix"",""measure"":""""},{""name"":""Margarita Glass"",""measure"":""""},{""name"":""Fresh Pinapple, Coconut or Lime (optional)"",""measure"":""""}]","season_tropical,season_tiki","style_new_era,flavor_fruity,serve_on_rocks,occ_party,season_summer",cat_highball_long,"Combine 1 part 1800 Coconut Tequila, 2 parts Dole Pineapple Juice, and 1 part Tres Agaves Organic Margarita Mix with ice in a shaker, then strain into a margarita glass. Garnish with fresh pineapple, coconut, or lime if desired.",glass_coffee_mug,pineapple wedge,3 minutes,Easy,https://drive.google.com/file/d/16ac_ZlJCfAErsq-K9w_i73q8mWdgqYAh/view?usp=drivesdk,2025-09-22
24k nightmare,"[{""name"":""Goldschlager"",""measure"":""1/2 oz""},{""name"":""Jägermeister"",""measure"":""1/2 oz""},{""name"":""Rumple Minze"",""measure"":""1/2 oz""},{""name"":""151 proof rum"",""measure"":""1/2 oz Bacardi""}]","energy_bold_spirit_forward,occ_party_high_energy","style_shot,flavor_intense,strength_strong",cat_shot_shooter,"Combine Goldschlager, Jägermeister, Rumple Minze, and 151 proof rum in a shaker with ice, then strain into a shot glass.",glass_shot,none,2 minutes,Easy,https://drive.google.com/file/d/1SvXwyvh61neL0jiE8W9tAPB7Z9ZNJGjH/view?usp=drivesdk,2025-09-22
3 Wise Men,"[{""name"":""Jack Daniels"",""measure"":""1/3 oz""},{""name"":""Johnnie Walker"",""measure"":""1/3 oz""},{""name"":""Jim Beam"",""measure"":""1/3 oz""}]","energy_bold_spirit_forward,occ_soiree","style_shot,strength_strong,flavor_intense",cat_shot_shooter,"Pour 1/3 oz each of Jack Daniels, Johnnie Walker, and Jim Beam into a Collins glass, then slam it back.",glass_collins,none,1 minute,Easy,https://drive.google.com/file/d/1Uz053YX2foLNVW2WmAQdloGhOnC-Vs0d/view?usp=drivesdk,2025-09-22
3-Mile Long Island Iced Tea,"[{""name"":""Gin"",""measure"":""1/2 oz""},{""name"":""Light rum"",""measure"":""1/2 oz""},{""name"":""Tequila"",""measure"":""1/2 oz""},{""name"":""Triple sec"",""measure"":""1/2 oz""},{""name"":""Vodka"",""measure"":""1/2 oz""},{""name"":""Coca-Cola"",""measure"":""1/2 oz""},{""name"":""Sweet and sour"",""measure"":""1-2 dash""},{""name"":""Bitters"",""measure"":""1 wedge""},{""name"":""Lemon"",""measure"":""Garnish with""}]","energy_bold_spirit_forward,occ_party_high_energy","style_classic,flavor_sour,strength_strong,serve_on_rocks",cat_coffee_tea,"Fill a Collins glass with ice, then add gin, light rum, tequila, triple sec, and vodka. Pour in cola to fill 2/3 of the glass, followed by sweet and sour to top off. Add a dash of bitters and garnish with a lemon wedge.",glass_collins,lemon wedge,3 minutes,Easy,https://drive.google.com/file/d/1ivBIq-0eEiSE5s07ABEEp_9GDPIhFqxX/view?usp=drivesdk,2025-09-22
410 Gone,"[{""name"":""Peach Vodka"",""measure"":""2-3 oz""},{""name"":""Coca-Cola"",""measure"":""""}]","energy_light_refreshing,time_sundowner","style_contemporary_classic,flavor_sweet,strength_moderate,serve_long",cat_highball_long,Combine 2-3 oz of peach vodka with Coca-Cola in a Collins glass filled with ice and stir gently.,glass_collins,none,2 minutes,Easy,https://drive.google.com/file/d/1eNpLZlhPylzI-0XF2Zp1HVNJhrXwEaH7/view?usp=drivesdk,2025-09-22
